,number,name,seniority,has_website,estimated_contribution_minimize,auto_consistency,teleop_consistency,auto_park,tele_ascent,auto_sample_net,auto_sample_low,auto_sample_high,auto_specimen_low,auto_specimen_high,teleop_sample_net,teleop_sample_low,teleop_sample_high,teleop_specimen_low,teleop_specimen_high,foul_points,auto_points,teleop_points,total_points,rank,estimated_contribution_opr,wins,losses,ties,award
0,9662,Apollo,11,True,43.050000000000004,0.6473223704051153,0.5395933180450295,0.0,2.0,0.16666666666666666,0.0,3.0,0.0,0.3333333333333333,2.0,0.0,5.833333333333333,0.0,2.3333333333333335,2.5,28.166666666666668,81.5,109.66666666666667,13,60.38699809078587,3,3,0,NONE
1,11192,Black Tigers,9,True,65.55,0.6570372370210966,0.6556895929801705,2.3333333333333335,15.333333333333334,0.1111111111111111,0.0,0.3333333333333333,0.0,0.3333333333333333,1.2222222222222223,0.7777777777777778,4.222222222222222,0.1111111111111111,4.777777777777778,4.444444444444445,9.88888888888889,104.77777777777777,114.66666666666667,5,79.71666643388787,4,2,0,NONE
2,11226,Black Thunder,9,False,49.4,0.6437290183783151,0.6021452771973805,0.0,0.046875,0.0,0.0,0.625,0.0,0.625,0.625,0.5,6.875,0.0,4.125,3.125,11.625,103.25,114.875,6,60.47221539387629,5,1,0,NONE
3,11443,ATOMIX 11443,9,False,16.8,0.6667958239204659,0.6777777777777778,1.6666666666666667,7.0,0.1111111111111111,0.2222222222222222,1.6666666666666667,0.0,1.1111111111111112,1.0,0.3333333333333333,5.222222222222222,0.1111111111111111,3.111111111111111,4.444444444444445,27.22222222222222,86.22222222222223,113.44444444444444,7,37.644318098719104,4,2,0,NONE
4,11635,Quack Attack,9,False,13.649999999999999,0.5289442802340042,0.6557593573545795,2.5,3.0,0.0,0.0,0.0,0.0,0.5,1.0,1.5,1.0,0.0,3.8333333333333335,17.5,7.5,58.833333333333336,66.33333333333333,19,41.19862563810428,2,4,0,NONE
5,11567,Supernova,9,False,8.4,0.6485573947827259,0.6267776522985625,0.42857142857142855,1.7142857142857142,0.0,0.0,0.5714285714285714,0.0,0.0,2.7142857142857144,0.42857142857142855,3.142857142857143,0.0,0.0,5.0,5.857142857142857,37.42857142857143,43.285714285714285,29,2.238369104995463,1,5,0,NONE
6,12016,MISHMASH,9,True,69.3,0.6454432664013077,0.6157017992486935,2.0,2.6666666666666665,0.1111111111111111,0.0,0.5555555555555556,0.0,2.111111111111111,0.7777777777777778,1.5555555555555556,5.333333333333333,0.0,7.555555555555555,2.7777777777777777,27.77777777777778,135.0,162.77777777777777,1,86.5242408260644,6,0,0,Winning Alliance Award Winners
7,12201,TATOOINE,9,False,47.4,0.591751709536137,0.5881743813990509,0.0,1.5,0.0,0.0,0.0,0.0,0.5,0.16666666666666666,1.3333333333333333,4.0,0.3333333333333333,1.6666666666666667,5.0,5.0,66.33333333333333,71.33333333333333,28,30.304386411071068,1,5,0,NONE
8,12363,OrangeFox,9,True,58.425,0.707108942693345,0.7031885420708537,1.3636363636363635,1.9090909090909092,0.0,0.0,2.272727272727273,0.0,0.8181818181818182,0.36363636363636365,0.6363636363636364,8.090909090909092,0.0,5.818181818181818,10.454545454545455,28.272727272727273,134.63636363636363,162.9090909090909,3,80.84231205413101,5,1,0,Finalist Alliance Award Winners
9,12989,Super Cow,8,True,46.0,0.6281609221682566,0.6120020537275525,1.0,2.5,0.5,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.8333333333333334,4.333333333333333,0.0,1.1666666666666667,7.5,5.166666666666667,55.833333333333336,61.0,15,14.600253361245356,3,3,0,NONE
10,13146,Makers Assemble,8,False,14.0,0.599556458928604,0.669241877550042,3.0,2.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,3.0,0.16666666666666666,2.3333333333333335,0.6666666666666666,1.5,4.166666666666667,5.5,47.333333333333336,52.833333333333336,22,31.654283490362747,2,4,0,NONE
