Unnamed: 0,number,name,rookie_year,country,has_website,auto_park,tele_ascent,auto_sample_net,auto_sample_low,auto_sample_high,auto_specimen_low,auto_specimen_high,teleop_sample_net,teleop_sample_low,teleop_sample_high,teleop_specimen_low,teleop_specimen_high,minor_fouls,major_fouls,auto_points,teleop_points,rank,estimated_contribution_opr,wins,losses,ties,awards
0,9662,Apollo,2014,Israel,True,"False,False,False,False,False,False,False,False,False,False,False,False,False","NONE,ASCENT_1,NONE,ASCENT_3,NONE,OBSERVATION_ZONE,NONE,ASCENT_1,ASCENT_1,NONE,ASCENT_1,ASCENT_1,ASCENT_3","0,0,0,0,0,1,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0","4,4,3,3,3,1,3,1,4,1,1,0,2","0,0,0,0,0,0,0,0,0,1,0,0,0","1,0,0,1,0,0,0,4,0,0,2,0,0","4,0,3,2,1,2,0,0,1,2,4,0,7","0,0,0,0,0,0,0,0,0,0,0,0,0","6,7,5,11,3,3,14,11,12,1,1,6,10","0,0,0,0,0,0,0,0,0,1,0,0,0","5,8,0,1,0,0,0,10,0,0,11,0,0","0,1,1,1,0,0,0,0,0,0,0,9,0","0,0,0,0,0,0,0,0,0,0,2,0,0","42,35,24,34,24,10,24,51,32,14,28,0,16","109,142,46,132,29,31,112,194,116,21,132,51,127","13,13","60.38699809078587,62.13587934864906",6.0,6.0,0.0,Inspire Award Finalist
0,11192,Black Tigers,2016,Israel,True,"True,True,True,True,False,True,True,True,False,True,False,False,True,True,False,False,False,False","ASCENT_2,OBSERVATION_ZONE,ASCENT_2,ASCENT_3,ASCENT_3,ASCENT_2,ASCENT_2,ASCENT_2,NONE,ASCENT_1,ASCENT_2,ASCENT_2,ASCENT_2,ASCENT_1,ASCENT_2,ASCENT_2,ASCENT_2,ASCENT_2","0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,2,0,1,0,0,0,0,1,1,0,1,1,2,1,2","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,3,0,0,0,0,1,0,1,1,2,1,1,3,2","0,0,1,0,2,2,4,1,1,3,0,0,2,0,2,3,2,4","5,2,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0","0,1,1,14,4,3,3,6,6,0,8,8,8,8,4,9,9,5","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","3,5,6,5,10,1,5,5,3,5,4,4,4,6,1,6,6,5","0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0","0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0","3,3,3,19,33,13,6,6,3,13,11,21,13,34,21,28,38,39","74,69,85,192,169,56,100,118,80,62,119,123,130,130,72,168,151,116","5,2","79.71666643388787,76.42016063113417",10.0,2.0,0.0,Inspire Award Winner
0,11226,Black Thunder,2016,Israel,False,"False,False,False,False,False,False,False,False,False,False,False,False,False,False","NONE,NONE,OBSERVATION_ZONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE","0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,1,0,1,1,1,0,0,0,2,1,1","0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,1,0,1,0,1,1,0,0,1,0,0,0","0,0,3,0,1,1,0,0,0,0,0,0,1,4","1,0,0,0,2,1,0,0,1,0,0,0,0,0","6,6,5,10,3,7,7,11,4,13,9,8,9,4","0,0,0,0,0,0,0,0,0,0,3,0,0,0","0,6,1,6,7,0,7,6,0,0,0,2,3,0","1,0,0,0,0,0,1,0,0,0,2,0,3,0","0,0,0,0,0,0,0,1,0,0,0,0,0,1","0,18,13,8,10,8,18,18,0,0,10,16,8,8","52,123,62,140,107,65,129,148,39,104,93,87,119,43","6,24","60.47221539387629,46.38093823112509",7.0,5.0,0.0,
0,11443,ATOMIX 11443,2016,Israel,False,"True,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False","ASCENT_2,ASCENT_1,NONE,ASCENT_2,NONE,NONE,ASCENT_2,NONE,ASCENT_2,ASCENT_2,ASCENT_1,ASCENT_3,ASCENT_2,ASCENT_1,OBSERVATION_ZONE,ASCENT_2,ASCENT_3,ASCENT_2","0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,2","0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,4,0,0,3,2,3,3,1,0,0,1,4,3,1,1,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","1,0,0,1,3,1,2,2,0,0,3,4,0,2,2,2,2,2","0,1,0,1,4,0,1,1,1,1,1,1,1,1,0,2,0,2","1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1","7,1,12,5,0,5,6,4,7,8,18,9,7,10,11,4,6,6","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0","3,0,1,4,8,1,5,4,2,1,6,10,0,9,2,7,8,9","1,0,1,1,1,0,1,0,3,1,1,1,4,0,0,1,0,0","0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0","13,3,32,14,34,37,41,47,24,10,33,45,8,55,44,28,28,24","108,13,109,107,95,53,118,77,96,94,224,207,77,178,111,128,161,164","7,6","37.644318098719104,93.46017013691761",9.0,3.0,0.0,Motivate Award Winner
0,11635,Quack Attack,2016,Israel,False,"True,True,True,True,False,True,False,False,False,False,True,False,False,True","OBSERVATION_ZONE,OBSERVATION_ZONE,OBSERVATION_ZONE,OBSERVATION_ZONE,OBSERVATION_ZONE,OBSERVATION_ZONE,ASCENT_2,ASCENT_2,ASCENT_2,ASCENT_1,ASCENT_2,ASCENT_2,NONE,ASCENT_1","0,0,0,0,0,0,0,0,0,1,0,0,0,1","0,0,0,0,0,0,0,0,0,0,1,0,0,0","0,0,0,0,0,0,1,0,1,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0","1,1,1,0,0,0,2,2,0,1,1,0,0,1","4,0,0,0,0,2,5,0,2,2,0,1,1,3","0,0,4,3,0,2,0,0,0,2,3,2,0,0","1,4,0,0,1,0,1,0,5,0,1,1,4,1","0,0,0,0,0,0,0,0,0,0,0,0,0,0","5,5,5,4,0,4,5,6,0,6,6,4,5,4","0,0,10,11,0,0,0,1,0,0,2,2,7,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0","13,13,13,3,0,3,28,20,8,12,17,0,0,15","72,85,69,55,14,58,86,75,62,75,110,76,87,60","19,16","41.19862563810428,48.114424220726704",5.0,7.0,0.0,Think Award Winner
0,11567,Supernova,2016,Israel,False,"False,False,False,False,True,False,False,False,False,True,False,True,False","NONE,NONE,ASCENT_1,OBSERVATION_ZONE,OBSERVATION_ZONE,NONE,OBSERVATION_ZONE,ASCENT_2,NONE,ASCENT_2,ASCENT_2,ASCENT_2,ASCENT_2","0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,3,0,0,0,1,1,1,4,1,1,1","0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,1,0,0","4,1,7,2,0,4,1,0,3,0,0,3,1","0,0,0,2,0,0,1,0,0,0,0,0,0","0,1,3,1,9,1,7,3,3,8,6,1,6","0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,1,5,0,7,4,0","0,0,1,0,0,0,0,0,1,0,0,0,0","0,0,0,2,0,0,0,0,0,0,0,0,1","0,3,24,3,3,0,8,8,11,35,21,11,11","8,13,44,26,90,16,65,52,83,109,136,69,68","29,15","2.238369104995463,53.88612300796464",4.0,8.0,0.0,
0,12016,MISHMASH,2016,Israel,True,"True,False,False,True,True,False,True,True,True,False,False,False,True,False,True,True,True,False,False","OBSERVATION_ZONE,OBSERVATION_ZONE,OBSERVATION_ZONE,OBSERVATION_ZONE,OBSERVATION_ZONE,OBSERVATION_ZONE,NONE,OBSERVATION_ZONE,OBSERVATION_ZONE,OBSERVATION_ZONE,OBSERVATION_ZONE,OBSERVATION_ZONE,OBSERVATION_ZONE,OBSERVATION_ZONE,OBSERVATION_ZONE,NONE,NONE,OBSERVATION_ZONE,OBSERVATION_ZONE","0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,3,3,2,3","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","2,2,1,1,3,1,3,3,3,4,4,4,3,3,4,4,4,3,5","3,0,0,0,2,0,0,0,2,1,3,0,0,1,0,0,0,1,0","0,5,1,0,0,8,0,0,0,7,0,0,0,1,0,0,0,0,0","1,0,2,5,4,0,13,13,10,2,0,3,8,13,6,13,10,10,10","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","7,7,5,1,10,8,10,9,11,11,13,12,10,5,12,12,11,9,11","1,1,0,0,0,2,0,0,1,0,1,5,1,1,0,0,2,2,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","23,20,10,13,33,10,57,41,43,44,40,40,33,30,46,67,67,49,74","90,108,73,53,169,118,207,197,200,174,142,150,170,166,174,227,190,175,193","1,1","86.5242408260644,165.93396730876043",12.0,0.0,0.0,"Winning Alliance Award Winners,Winning Alliance Award Winners,Connect Award Winner"
0,12201,TATOOINE,2016,Israel,False,"False,False,False,False,False,False,False,False,False,False,False,False","NONE,NONE,ASCENT_1,OBSERVATION_ZONE,NONE,ASCENT_1,ASCENT_1,OBSERVATION_ZONE,ASCENT_1,OBSERVATION_ZONE,ASCENT_1,OBSERVATION_ZONE","0,0,0,0,0,0,1,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,1,3,1,1,0,3","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,3,0,0,0,0,1,1,0,0","0,0,0,1,0,0,1,2,0,1,0,1","0,2,2,2,0,2,0,0,0,0,0,0","7,1,4,2,6,4,8,7,7,7,6,7","0,1,0,0,0,1,0,0,0,0,0,0","3,0,1,6,0,0,1,3,3,1,0,1","1,1,0,1,0,0,1,2,0,0,0,0","0,0,1,0,0,0,1,0,0,0,0,0","0,0,0,30,0,0,10,24,18,18,0,24","86,52,56,104,48,52,94,108,89,71,51,74","28,20","30.304386411071068,35.77400468201263",3.0,9.0,0.0,Design Award Winner
0,12363,OrangeFox,2016,Israel,True,"False,True,False,False,False,False,True,False,True,True,True,True,True,True,False,True,True,False,True,True,True,True","NONE,OBSERVATION_ZONE,NONE,NONE,OBSERVATION_ZONE,OBSERVATION_ZONE,NONE,OBSERVATION_ZONE,OBSERVATION_ZONE,OBSERVATION_ZONE,OBSERVATION_ZONE,OBSERVATION_ZONE,OBSERVATION_ZONE,OBSERVATION_ZONE,NONE,OBSERVATION_ZONE,OBSERVATION_ZONE,NONE,NONE,NONE,OBSERVATION_ZONE,OBSERVATION_ZONE","0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","1,4,1,1,3,2,4,2,3,3,1,4,1,0,3,3,0,3,4,3,4,3","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","1,0,0,0,4,0,1,1,0,1,1,2,4,4,1,4,2,3,2,3,3,2","0,0,0,0,0,0,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0","1,0,4,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0","8,7,1,10,13,4,9,9,7,10,11,14,11,9,2,19,7,14,17,14,15,16","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","4,8,1,6,8,7,3,10,8,8,1,7,10,10,8,8,9,11,7,9,8,7","8,1,0,0,0,2,0,7,0,1,1,0,0,1,0,1,0,2,1,3,1,0","0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0","21,35,8,8,67,16,45,26,27,37,21,58,51,45,34,70,23,57,58,60,68,50","111,142,49,140,206,105,110,207,144,166,101,194,194,207,99,254,149,237,236,217,218,204","3,5","80.84231205413101,137.05428769074652",10.0,2.0,0.0,"Finalist Alliance Award Winners,Finalist Alliance Award Winners,Rockwell Collins Innovate Award Winner"
0,12989,Super Cow,2017,Israel,True,"False,False,False,False,True,True,True,True,False,False,True,True","OBSERVATION_ZONE,NONE,OBSERVATION_ZONE,OBSERVATION_ZONE,OBSERVATION_ZONE,OBSERVATION_ZONE,NONE,OBSERVATION_ZONE,OBSERVATION_ZONE,ASCENT_1,ASCENT_1,NONE","0,0,0,0,0,3,0,0,0,1,0,0","0,0,0,0,0,0,0,1,0,0,0,0","0,0,0,0,0,0,0,0,1,0,1,0","0,0,0,0,0,0,0,0,0,0,0,0","0,0,1,0,0,0,0,0,0,0,1,0","0,0,0,0,0,2,2,0,0,5,4,0","2,2,0,0,0,1,0,1,1,0,0,0","5,1,5,5,8,2,1,1,3,1,6,7","0,0,0,0,0,0,0,0,0,0,0,0","0,5,1,0,0,1,0,0,0,5,1,2","3,0,1,3,0,2,0,0,0,1,0,0","0,0,0,0,0,0,0,0,0,0,0,0","0,3,13,3,3,9,3,7,11,2,21,3","51,69,53,43,67,52,12,30,46,74,72,91","15,29","14.600253361245356,14.2804667871034",4.0,8.0,0.0,
